book_title,book_publish_date,book_isbn,book_open_library_key,author_name,author_birth_date,author_death_date,author_country,author_open_library_key
The Tempest,2017-01-01,9781542049184,OL34915473M,William Shakespeare,1564-04-20,1616-04-23,England,OL9388A
Neverwhere,1997-01-01,0380973634,OL1013014M,Neil Gaiman,1960-11-10,,England,OL53305A
American Gods,2016-01-01,9780062472106,OL32582534M,Neil Gaiman,1960-11-10,,England,OL53305A
Snow crash,2000-01-01,0553380958,OL18141225M,Neal Stephenson,1959-10-31,,American,OL19430A
Macbeth,2006-01-01,9780748769551,OL7964848M,William Shakespeare,1564-04-20,1616-04-23,England,OL9388A
Hell's Angels,1999-12-07,9780679603313,OL7699663M,Hunter S. Thompson,1937-07-18,2005-02-20,American,OL45249A
Fear and loathing in Las Vegas,1998-01-01,0679785892,OL67655M,Hunter S. Thompson,1937-07-18,2005-02-20,American,OL45249A
The tragedy of King Lear,2012-01-01,9781585102655,OL35738820M,William Shakespeare,1564-04-20,1616-04-23,England,OL9388A
Burmese days,1974-01-01,0156148501,OL5419823M,George Orwell,1903-06-25,1950-01-21,England,OL118077A
1984,2016-01-01,9781785996313,OL35689491M,George Orwell,1903-06-25,1950-01-21,England,OL118077A
Animal farm,2012-01-01,9781943138425,OL38214530M,George Orwell,1903-06-25,1950-01-21,England,OL118077A
Zero History,2010-01-01,9780670919529,OL31889293M,William Gibson,1948-03-17,,American,OL26283A
Spook country,2009-01-01,9781858788906,OL37738432M,William Gibson,1948-03-17,,American,OL26283A
All Tomorrow's Parties,2003-02-04,9780425190449,OL7504840M,William Gibson,1948-03-17,,American,OL26283A
Burning Chrome,1995-11-27,9780006480433,OL7259173M,William Gibson,1948-03-17,,American,OL26283A
Count Zero,2006-01-01,0441013678,OL3431534M,William Gibson,1948-03-17,,American,OL26283A
Mona Lisa Overdrive,1988-01-01,9780553281743,OL24226058M,William Gibson,1948-03-17,,American,OL26283A
Idoru,1997-09-01,9780425158647,OL7503991M,William Gibson,1948-03-17,,American,OL26283A
Neuromancer,2016-10-25,9780143111603,OL27444262M,William Gibson,1948-03-17,,American,OL26283A
The Metamorphosis,1972-02-01,9780553211962,OL7820373M,Franz Kafka,1883-07-03,1924-06-03,,OL33146A
The Return of the King,1973-03-01,9780345253453,OL51688496M,J.R.R. Tolkien,1892-01-03,1973-09-02,,OL26320A
The Two Towers,1991-01-01,0261102362,OL51694031M,J.R.R. Tolkien,1892-01-03,1973-09-02,,OL26320A
The Fellowship of the Ring,2005-01-01,9780007770120,OL43079986M,J.R.R. Tolkien,1892-01-03,1973-09-02,,OL26320A
The Hobbit,1984-01-01,9780395520215,OL51709286M,J.R.R. Tolkien,1892-01-03,1973-09-02,,OL26320A
Hard-boiled wonderland and the end of the world,1993-01-01,0679743464,OL1745775M,Haruki Murakami (村上春樹),1949-01-12,,Japan,OL382524A
Dance dance dance,1994-01-01,4770016832,OL35886963M,Haruki Murakami (村上春樹),1949-01-12,,Japan,OL382524A
A wild sheep chase,1989-01-01,0870119052,OL35886989M,Haruki Murakami (村上春樹),1949-01-12,,Japan,OL382524A
The Wind-Up Bird Chronicle,1997-01-01,9780679446699,OL657653M,Haruki Murakami (村上春樹),1949-01-12,,Japan,OL382524A
1Q84,2011-01-01,9780307593313,OL32895958M,Haruki Murakami (村上春樹),1949-01-12,,Japan,OL382524A
Norwegian Wood,2003-01-01,0099448823,OL26491083M,Haruki Murakami (村上春樹),1949-01-12,,Japan,OL382524A
Kafka on the Shore,2005-01-01,9781400043668,OL24196634M,Haruki Murakami (村上春樹),1949-01-12,,Japan,OL382524A
Big Sur,1966-01-01,9780450013041,OL39212968M,Jack Kerouac,1922-03-12,1969-10-21,,OL21491A
The Dharma bums,2006-01-01,9780143039600,OL17213572M,Jack Kerouac,1922-03-12,1969-10-21,,OL21491A
On the road,1975-01-01,0899661343,OL1630380M,Jack Kerouac,1922-03-12,1969-10-21,,OL21491A
On the Road,2000-01-01,9780141182674,OL22464055M,Jack Kerouac,1922-03-12,1969-10-21,,OL21491A
THE BROTHERS KARAMAZOV,1993-01-01,9780140449242,OL53209357M,Фёдор Михайлович Достоевский,1821-11-11,1881-02-09,Russia,OL22242A
Beyond good and evil,2003-01-01,9780140449235,OL3701482M,Friedrich Nietzsche,1844-10-15,1900-08-25,,OL20157A
Crime and punishment,2003-01-01,9780140449136,OL23140636M,Фёдор Михайлович Достоевский,1821-11-11,1881-02-09,Russia,OL22242A
The Trial,2000-04-27,9780141182902,OL7358929M,Franz Kafka,1883-07-03,1924-06-03,,OL33146A
Dracula,2000-01-01,9780486411095,OL24325861M,Bram Stoker,1847-01-01,1912-01-01,,OL31727A
The Scarlet Letter,2003-01-01,9780142437261,OL17920846M,Nathaniel Hawthorne,1804-07-04,1864-05-19,,OL26681A
Alice's Adventures in Wonderland,1993-01-01,9780486275437,OL1396620M,Lewis Carroll,1832-01-27,1898-01-14,,OL22098A
Frankenstein,1994-01-01,9780486282114,OL1110841M,Mary Shelley,1797-08-30,1851-02-01,,OL25342A
Brave New World,1932-01-01,9780060850524,OL40234251M,Aldous Huxley,1894-07-26,1963-11-22,,OL19767A
The Lord of the Rings,2005-01-01,9780618640157,OL3404981M,J.R.R. Tolkien,1892-01-03,1973-09-02,,OL26320A
"Moby-Dick, or, The whale",2003-01-01,9780142437247,OL3704476M,Herman Melville,1819-08-01,1891-09-28,,OL29497A
Pride and Prejudice,2003-01-01,9780141439518,OL37076991M,Jane Austen,1755-12-16,1817-06-18,,OL21594A
To Kill a Mockingbird,2006-01-01,9780061120084,OL9242848M,Harper Lee,1926-04-28,2016-02-19,,OL498120A
